epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1891,2.02139,3.22461,1.67553,0.53425,0.10173,0.13851,0.06018,1.9028,3.09791,1.84088,0.000467346,0.000467346,0.000467346
2,42.1941,1.88375,2.59239,1.58068,0.49558,0.24783,0.14907,0.06449,2.16424,3.00956,2.06384,0.000924994,0.000924994,0.000924994
3,59.6934,1.84827,2.48374,1.55026,0.22857,0.3458,0.18331,0.07904,2.26123,3.36276,2.24297,0.00136378,0.00136378,0.00136378
4,77.7325,1.85686,2.39772,1.56685,0.26845,0.33235,0.21562,0.09636,2.25917,3.45006,2.24624,0.00134412,0.00134412,0.00134412
5,97.4708,1.80695,2.32064,1.55888,0.62507,0.30257,0.26305,0.12713,2.00826,2.66277,1.95423,0.00131582,0.00131582,0.00131582
6,117.114,1.80679,2.18836,1.54437,0.39408,0.34152,0.27221,0.13265,1.97549,2.63796,1.90342,0.00128753,0.00128753,0.00128753
7,138.365,1.78935,2.18384,1.54494,0.3605,0.42773,0.3159,0.17204,1.89954,2.46366,1.86878,0.00125923,0.00125923,0.00125923
8,164.228,1.72483,2.13443,1.50145,0.34451,0.37109,0.2926,0.14808,1.99378,2.64668,1.89572,0.00123094,0.00123094,0.00123094
9,189.752,1.71208,2.03292,1.49687,0.3434,0.43381,0.32433,0.16825,1.88739,2.5206,1.87697,0.00120265,0.00120265,0.00120265
10,217.862,1.68773,2.00626,1.46346,0.30583,0.41148,0.30856,0.16102,1.94753,2.32854,1.89877,0.00117435,0.00117435,0.00117435
11,266.204,1.64733,1.94238,1.45986,0.37226,0.48598,0.38049,0.2057,1.92443,2.36199,1.86966,0.00114606,0.00114606,0.00114606
12,289.986,1.63247,1.90454,1.43338,0.39902,0.43495,0.3456,0.1787,2.01777,2.44227,1.88084,0.00111776,0.00111776,0.00111776
13,314.78,1.63891,1.89136,1.44894,0.5107,0.39239,0.37623,0.20247,1.9013,2.2544,1.84125,0.00108947,0.00108947,0.00108947
14,346.925,1.6399,1.855,1.44876,0.34847,0.48374,0.36446,0.2032,1.83402,2.30351,1.78887,0.00106118,0.00106118,0.00106118
15,381.625,1.62156,1.85298,1.42563,0.34067,0.41354,0.35514,0.1919,1.86355,2.27685,1.77537,0.00103288,0.00103288,0.00103288
16,417.352,1.58267,1.77874,1.40768,0.41162,0.50046,0.42336,0.22988,1.88758,2.16879,1.85262,0.00100459,0.00100459,0.00100459
17,453.272,1.59565,1.78246,1.41945,0.3806,0.44255,0.3928,0.20784,1.82094,2.10514,1.72682,0.000976293,0.000976293,0.000976293
18,489.178,1.54528,1.74224,1.36716,0.46775,0.49496,0.44769,0.24308,1.8345,2.06458,1.75358,0.000947999,0.000947999,0.000947999
19,525.55,1.56197,1.71853,1.38782,0.43736,0.49626,0.44145,0.24641,1.78077,2.07837,1.74079,0.000919704,0.000919704,0.000919704
20,561.691,1.55365,1.68763,1.37451,0.47292,0.46851,0.44778,0.24775,1.83255,2.02785,1.70999,0.00089141,0.00089141,0.00089141
21,598.951,1.5063,1.66824,1.34873,0.52433,0.4867,0.46791,0.24894,1.85713,2.02332,1.80104,0.000863116,0.000863116,0.000863116
22,636.107,1.51937,1.65942,1.38071,0.45788,0.55637,0.47846,0.25932,1.80197,1.99893,1.77533,0.000834822,0.000834822,0.000834822
23,674.507,1.53847,1.62417,1.38711,0.54919,0.49538,0.49089,0.26247,1.84337,1.96367,1.83326,0.000806528,0.000806528,0.000806528
24,713.313,1.52741,1.63958,1.37863,0.47155,0.45827,0.3977,0.21353,1.88107,2.1974,1.79939,0.000778233,0.000778233,0.000778233
