epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3699,2.00858,3.01412,1.73487,0.16258,0.40634,0.15022,0.06334,2.11271,4.73937,2.04195,0.000467346,0.000467346,0.000467346
2,134.615,1.92382,2.3637,1.64136,0.18852,0.3187,0.08645,0.03541,2.39927,4.86418,2.54932,0.000924994,0.000924994,0.000924994
3,171.164,1.93236,2.23597,1.65705,0.24525,0.32422,0.16878,0.07532,2.42616,3.63719,2.49793,0.00136378,0.00136378,0.00136378
4,223.746,1.92241,2.16907,1.66192,0.12944,0.37073,0.09295,0.04101,2.3705,5.13147,2.42158,0.00134412,0.00134412,0.00134412
5,261.801,1.87812,2.17236,1.66076,0.21375,0.33858,0.2245,0.09799,2.27975,3.12011,2.27513,0.00131582,0.00131582,0.00131582
6,302.153,1.8491,2.07148,1.61611,0.36357,0.32657,0.2662,0.12904,2.06466,2.76791,2.11193,0.00128753,0.00128753,0.00128753
7,343.632,1.81177,2.05033,1.59653,0.42801,0.35421,0.30087,0.15279,2.11684,2.58173,2.14173,0.00125923,0.00125923,0.00125923
8,381.815,1.76986,2.02923,1.58563,0.33469,0.40002,0.29283,0.14999,1.95742,2.47011,1.96306,0.00123094,0.00123094,0.00123094
9,416.184,1.73126,1.94559,1.55544,0.37284,0.41444,0.31556,0.1667,2.03549,2.417,2.00534,0.00120265,0.00120265,0.00120265
10,449.952,1.6924,1.88436,1.52442,0.33936,0.36816,0.34855,0.18854,1.95941,2.46357,1.9856,0.00117435,0.00117435,0.00117435
11,486.7,1.67467,1.84318,1.51637,0.40723,0.39938,0.35587,0.1854,1.9818,2.28531,1.95706,0.00114606,0.00114606,0.00114606
12,842.645,1.64892,1.79994,1.49125,0.36884,0.39346,0.37519,0.20064,2.02091,2.23234,2.00264,0.00111776,0.00111776,0.00111776
13,892.846,1.63155,1.77302,1.50511,0.34985,0.48002,0.37291,0.20161,2.01208,2.24999,2.04642,0.00108947,0.00108947,0.00108947
14,935.119,1.64557,1.7565,1.50167,0.39182,0.45814,0.41309,0.21963,1.93449,2.27632,1.94587,0.00106118,0.00106118,0.00106118
15,957.285,1.62875,1.77097,1.48783,0.34096,0.42917,0.34623,0.18847,1.87759,2.30433,1.93579,0.00103288,0.00103288,0.00103288
16,979.443,1.58535,1.70482,1.44517,0.4559,0.41045,0.41108,0.22137,1.89462,2.1684,1.9228,0.00100459,0.00100459,0.00100459
17,1001.96,1.59068,1.68021,1.46683,0.40837,0.46548,0.41949,0.21536,1.95021,2.22315,1.91322,0.000976293,0.000976293,0.000976293
18,1024.48,1.5409,1.65447,1.42035,0.46577,0.46544,0.43469,0.23537,1.91838,2.02712,1.90381,0.000947999,0.000947999,0.000947999
19,1047.19,1.55019,1.63226,1.43306,0.43222,0.53048,0.45004,0.24121,1.85751,1.99966,1.90272,0.000919704,0.000919704,0.000919704
20,1070.09,1.52177,1.58262,1.4081,0.4891,0.4863,0.47078,0.2494,1.89899,1.89814,1.84246,0.00089141,0.00089141,0.00089141
21,1092.94,1.50547,1.57039,1.3889,0.52647,0.47932,0.48318,0.25881,1.85926,2.04435,1.91411,0.000863116,0.000863116,0.000863116
22,1115.57,1.50967,1.57362,1.41949,0.49079,0.47579,0.46378,0.26166,1.80194,1.95895,1.79392,0.000834822,0.000834822,0.000834822
23,1138.61,1.50169,1.52506,1.4093,0.5056,0.47645,0.48389,0.26411,1.72512,1.8276,1.72661,0.000806528,0.000806528,0.000806528
24,1161.5,1.50255,1.52061,1.40694,0.48551,0.50169,0.45812,0.25872,1.82115,1.95173,1.86608,0.000778233,0.000778233,0.000778233
25,1184.31,1.4579,1.48146,1.37145,0.5009,0.48531,0.47052,0.24931,1.80822,2.02103,1.86668,0.000749939,0.000749939,0.000749939
26,1207.23,1.44637,1.47234,1.37926,0.50135,0.53555,0.48378,0.26979,1.81072,1.85646,1.88075,0.000721645,0.000721645,0.000721645
27,1230.14,1.42771,1.43151,1.3618,0.51214,0.5299,0.49904,0.27341,1.81079,1.79868,1.84898,0.000693351,0.000693351,0.000693351
28,1252.91,1.42071,1.41507,1.35682,0.51227,0.51236,0.49333,0.2854,1.7866,1.87839,1.84438,0.000665057,0.000665057,0.000665057
29,1275.98,1.40547,1.36464,1.33361,0.50387,0.52732,0.50351,0.29028,1.7438,1.80095,1.81964,0.000636762,0.000636762,0.000636762
30,1298.89,1.37055,1.33124,1.31932,0.48138,0.52647,0.49561,0.28247,1.75088,1.78686,1.80951,0.000608468,0.000608468,0.000608468
31,1321.52,1.38718,1.34986,1.33044,0.5521,0.50139,0.50789,0.28875,1.72398,1.75731,1.75124,0.000580174,0.000580174,0.000580174
32,1344.28,1.38087,1.33662,1.32393,0.54361,0.46398,0.50518,0.29427,1.68149,1.79879,1.75285,0.00055188,0.00055188,0.00055188
33,1367.53,1.33753,1.30154,1.29403,0.50157,0.57583,0.52872,0.30134,1.72566,1.75376,1.76496,0.000523586,0.000523586,0.000523586
34,1390.37,1.34284,1.28112,1.30319,0.57489,0.56848,0.55217,0.31853,1.71893,1.70546,1.78121,0.000495291,0.000495291,0.000495291
35,1413.06,1.28396,1.2193,1.27498,0.58818,0.51108,0.53127,0.30541,1.69594,1.70333,1.75313,0.000466997,0.000466997,0.000466997
36,1435.94,1.30296,1.2087,1.2807,0.56601,0.54631,0.53496,0.30402,1.69757,1.75224,1.7589,0.000438703,0.000438703,0.000438703
37,1458.8,1.2944,1.20214,1.28774,0.56068,0.60859,0.55811,0.31951,1.70398,1.645,1.75552,0.000410409,0.000410409,0.000410409
38,1481.52,1.27615,1.16335,1.25778,0.57207,0.58438,0.57425,0.3299,1.7275,1.66519,1.75678,0.000382115,0.000382115,0.000382115
39,1504.72,1.27514,1.15109,1.26092,0.58315,0.59618,0.56902,0.32229,1.67795,1.65266,1.74974,0.00035382,0.00035382,0.00035382
40,1527.44,1.23661,1.14364,1.24596,0.59482,0.58135,0.57288,0.32451,1.6897,1.62973,1.73915,0.000325526,0.000325526,0.000325526
41,1597.95,1.20128,1.10331,1.26684,0.61856,0.55407,0.58883,0.34266,1.74357,1.64721,1.80903,0.000297232,0.000297232,0.000297232
42,1620.93,1.17576,1.05975,1.25283,0.60167,0.53211,0.56595,0.32802,1.7114,1.69314,1.78191,0.000268938,0.000268938,0.000268938
43,1643.38,1.17204,1.04322,1.25204,0.56411,0.58346,0.56469,0.33306,1.6946,1.67933,1.77745,0.000240644,0.000240644,0.000240644
44,1665.98,1.14887,1.00386,1.24579,0.56284,0.60305,0.57203,0.33211,1.69167,1.69275,1.76495,0.000212349,0.000212349,0.000212349
45,1689.08,1.13233,0.96752,1.23966,0.59844,0.5921,0.58948,0.34543,1.6547,1.64024,1.74685,0.000184055,0.000184055,0.000184055
46,1712.75,1.08825,0.94092,1.20591,0.56962,0.63043,0.59876,0.34867,1.65106,1.57816,1.75954,0.000155761,0.000155761,0.000155761
47,1737.31,1.10632,0.94084,1.2354,0.55973,0.64111,0.60258,0.36075,1.67418,1.585,1.79081,0.000127467,0.000127467,0.000127467
48,1762.32,1.06765,0.8834,1.18832,0.60408,0.62007,0.60306,0.35591,1.6594,1.58722,1.77265,9.91726e-05,9.91726e-05,9.91726e-05
49,1788.45,1.0509,0.87942,1.18166,0.56753,0.64319,0.60658,0.36137,1.6615,1.58566,1.78059,7.08784e-05,7.08784e-05,7.08784e-05
50,1814.75,1.03535,0.86719,1.17346,0.57429,0.64689,0.60562,0.36113,1.66036,1.57685,1.79501,4.25842e-05,4.25842e-05,4.25842e-05
